kcet,college
62.4630383,"Shri Vile Parle Kelavani Mandal's Institute of Pharmacy, Dhule"
62.4630383,"Sanjivani Rural Education Society's Sanjivani College of Pharmaceutical & Research, Kopargaon"
62.2654513,"Progressive Education Society's Modern College of Pharmacy( for Women), Moshi.(Tal.Haveli)"
61.4498410,"School of Pharmacy and Research Centre, Baramati"
60.8032195,"Pune District Education Associations College Of Pharmacy Hadapsar Pune"
60.6004328,"Trinity College Of Pharmacy Pune"
60.4016195,"Dayanand Education Society's Dayanand College of Pharmacy, Latur"
60.4016195,"S.M.B.T. College Of Pharmacy Nandi Hills,Dhamangaon, Nashik."
60.1938295,"Anuradha College Of Pharmacy, Chikhli"
59.7293922,"Pravara Rural Education Society's Pravara Rural College of Pharmacy,Pravararanagar"
59.3151855,"Ravi bahu Uddeshiya Shaikshanik Sanstha's Sonekar College of Pharmacy, Nagpur"
59.3151855,"Shivlingeshwar College of Pharmacy, Almala, Dist. Latur"
58.8943567,"Gokhale Education Society's Sir Dr. M.S.Gosavi College of Pharmaceutical Education & Research, Nashik"
58.8943567,"S.K.B.College of Pharmacy, Gada, Kamptee"
57.2546498,"Channabasweshwar Pharmacy College ( Degree), Latur"
57.2546498,"St. Wilfred's Institute of Pharmacy, Panvel"
57.0370981,"Gandhi Natha Rangji College of Diploma Pharmacy, Solapur"
57.0370981,"Sandip Institute of Pharmaceutical Science, Nashik."
56.5832073,"Institute of Pharmacy & Research, Badnera"
56.5832073,"Tatyasaheb Kore College of Pharmacy, Warananagar"
56.5832073,"SNJB's Shriman Sureshdada Jain College of Pharmacy, Neminagar, Chandwad, Nashik"
56.0655471,"K.E. Socities. Rajarambapu College of Pharmacy, Kasegaon, Sangli"
56.0655471,"B.K. Patil Institute of Pharmacy, Taloja, Panvel"
56.0655471,"Sant Dnyaneshwar Shikshan Sanstha, Annasaheb Dange College of B.Pharmacy, Ashta, Sangli"
55.8400978,"Tatyasaheb Kore College of Pharmacy, Warananagar"
55.8400978,"Shri Y.S.P.Mandal's Vasantidevi Patil Institute of Pharmacy , Kodoli, Dist.Kolhapur"
